"state","zcta5","stab","zipname","intptlon","intptlat","pop2k","afact"
"FIPS state","ZIP Census Tabulation Area","State Postal Code","zipname","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total Pop, 2000 census","state to zcta5 alloc factor"
"37","27839","NC","HALIFAX",-77.557211,36.309087,4185,0.00052 
"37","27840","NC","HAMILTON",-77.208726,35.946478,406,0.00005 
"37","27841","NC","HASSELL",-77.278467,35.908889,40,5E-6 
"37","27842","NC","HENRICO",-77.857058,36.525572,1366,0.00017 
"37","27843","NC","HOBGOOD",-77.398041,36.014693,1292,0.000161 
"37","27844","NC","HOLLISTER",-77.941699,36.252041,2341,0.000291 
"37","27845","NC","JACKSON",-77.417307,36.370006,2460,0.000306 
"37","27846","NC","JAMESVILLE",-76.883419,35.78899,2942,0.000365 
"37","27847","NC","KELFORD",-77.205197,36.177385,965,0.00012 
"37","27849","NC","LEWISTON WOODVIL",-77.177326,36.113387,1654,0.000205 
"37","27850","NC","LITTLETON",-77.889426,36.43914,7373,0.000916 
"37","27851","NC","LUCAMA",-78.023274,35.637133,4752,0.00059 
"37","27852","NC","CRISP",-77.661081,35.7491,2653,0.00033 
"37","27853","NC","MARGARETTSVILLE",-77.312048,36.510518,763,0.000095 
"37","27855","NC","MURFREESBORO",-77.10523,36.430486,5972,0.000742 
"37","27856","NC","NASHVILLE",-77.971262,35.985773,15094,0.001875 
"37","27857","NC","OAK CITY",-77.260805,35.951746,2103,0.000261 
"37","27858","NC","GREENVILLE",-77.339526,35.58011,45015,0.005592 
"37","27860","NC","PANTEGO",-76.687653,35.628387,1960,0.000243 
"37","27862","NC","PENDLETON",-77.201156,36.483521,842,0.000105 
"37","27863","NC","PIKEVILLE",-77.983731,35.483117,8008,0.000995 
"37","27864","NC","PINETOPS",-77.638366,35.799142,4218,0.000524 
"37","27865","NC","PINETOWN",-76.806987,35.572956,2006,0.000249 
"37","27866","NC","PLEASANT HILL",-77.550026,36.519457,938,0.000117 
"37","27869","NC","RICH SQUARE",-77.293057,36.280044,2686,0.000334 
"37","27870","NC","ROANOKE RAPIDS",-77.674996,36.445612,27643,0.003434 
"37","27871","NC","ROBERSONVILLE",-77.259186,35.819398,5032,0.000625 
"37","27872","NC","ROXOBEL",-77.24639,36.204095,335,0.000042 
"37","27873","NC","SARATOGA",-77.7759,35.652506,380,0.000047 
"37","27874","NC","SCOTLAND NECK",-77.428756,36.131771,5818,0.000723 
"37","27875","NC","SCRANTON",-76.475274,35.459618,580,0.000072 
"37","27876","NC","SEABOARD",-77.414874,36.482779,1457,0.000181 
"37","27877","NC","SEVERN",-77.185352,36.515137,251,0.000031 
"37","27878","NC","SHARPSBURG",-77.829988,35.868121,1648,0.000205 
"37","27880","NC","SIMS",-78.079155,35.73993,2138,0.000266 
"37","27882","NC","SPRING HOPE",-78.113135,35.931664,6197,0.00077 
"37","27883","NC","STANTONSBURG",-77.801625,35.599821,3309,0.000411 
"37","27884","NC","STOKES",-77.266745,35.704186,1124,0.00014 
"37","27885","NC","SWANQUARTER",-76.284065,35.430224,1229,0.000153 
"37","27886","NC","TARBORO",-77.54822,35.901808,19913,0.002474 
"37","27888","NC","WALSTONBURG",-77.70305,35.59307,2619,0.000325 
"37","27889","NC","WASHINGTON",-77.03302,35.554163,25332,0.003147 
"37","27890","NC","WELDON",-77.607267,36.417279,2879,0.000358 
"37","27891","NC","WHITAKERS",-77.768381,36.10505,5064,0.000629 
