GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
8600000US28079,28079,ZCTA5 28079,33008,981
8600000US28080,28080,ZCTA5 28080,8078,785
8600000US28081,28081,ZCTA5 28081,26798,1193
8600000US28083,28083,ZCTA5 28083,24270,1000
8600000US28086,28086,ZCTA5 28086,25261,1063
8600000US28088,28088,ZCTA5 28088,2975,365
8600000US28089,28089,ZCTA5 28089,237,79
8600000US28090,28090,ZCTA5 28090,7803,610
8600000US28091,28091,ZCTA5 28091,1935,284
8600000US28092,28092,ZCTA5 28092,38552,1213
8600000US28097,28097,ZCTA5 28097,5458,393
8600000US28098,28098,ZCTA5 28098,3668,98
8600000US28101,28101,ZCTA5 28101,751,153
8600000US28102,28102,ZCTA5 28102,87,54
8600000US28103,28103,ZCTA5 28103,10727,812
8600000US28104,28104,ZCTA5 28104,30750,913
8600000US28105,28105,ZCTA5 28105,42704,970
8600000US28107,28107,ZCTA5 28107,7047,691
8600000US28108,28108,ZCTA5 28108,101,58
8600000US28109,28109,ZCTA5 28109,361,107
8600000US28110,28110,ZCTA5 28110,51834,1230
8600000US28112,28112,ZCTA5 28112,27023,1081
8600000US28114,28114,ZCTA5 28114,7751,854
8600000US28115,28115,ZCTA5 28115,34912,965
8600000US28117,28117,ZCTA5 28117,36351,1173
8600000US28119,28119,ZCTA5 28119,3530,587
8600000US28120,28120,ZCTA5 28120,20066,991
8600000US28124,28124,ZCTA5 28124,6115,461
8600000US28125,28125,ZCTA5 28125,2045,392
8600000US28127,28127,ZCTA5 28127,7306,524
8600000US28128,28128,ZCTA5 28128,7000,555
8600000US28129,28129,ZCTA5 28129,5454,469
8600000US28133,28133,ZCTA5 28133,2361,379
8600000US28134,28134,ZCTA5 28134,10422,516
8600000US28135,28135,ZCTA5 28135,6377,436
8600000US28137,28137,ZCTA5 28137,3498,380
8600000US28138,28138,ZCTA5 28138,9494,904
8600000US28139,28139,ZCTA5 28139,19506,1030
8600000US28144,28144,ZCTA5 28144,25039,936
8600000US28146,28146,ZCTA5 28146,26666,1138
8600000US28147,28147,ZCTA5 28147,25876,1202
8600000US28150,28150,ZCTA5 28150,28416,1209
8600000US28152,28152,ZCTA5 28152,24361,1097
8600000US28159,28159,ZCTA5 28159,3078,124
8600000US28160,28160,ZCTA5 28160,3881,238
8600000US28163,28163,ZCTA5 28163,5757,508
8600000US28164,28164,ZCTA5 28164,14200,848
8600000US28166,28166,ZCTA5 28166,9310,759
8600000US28167,28167,ZCTA5 28167,2239,554
8600000US28168,28168,ZCTA5 28168,10171,767
8600000US28169,28169,ZCTA5 28169,143,105
8600000US28170,28170,ZCTA5 28170,11237,602
8600000US28173,28173,ZCTA5 28173,49606,1031
8600000US28174,28174,ZCTA5 28174,9329,582
8600000US28202,28202,ZCTA5 28202,11602,651
8600000US28203,28203,ZCTA5 28203,13657,713
8600000US28204,28204,ZCTA5 28204,5841,465
8600000US28205,28205,ZCTA5 28205,46904,1589
8600000US28206,28206,ZCTA5 28206,12305,874
8600000US28207,28207,ZCTA5 28207,9666,546
8600000US28208,28208,ZCTA5 28208,35340,1443
8600000US28209,28209,ZCTA5 28209,22221,1132
8600000US28210,28210,ZCTA5 28210,45485,1250
8600000US28211,28211,ZCTA5 28211,29566,1040
8600000US28212,28212,ZCTA5 28212,42007,1627
8600000US28213,28213,ZCTA5 28213,37556,1239
8600000US28214,28214,ZCTA5 28214,36328,1660
8600000US28215,28215,ZCTA5 28215,56339,1797
8600000US28216,28216,ZCTA5 28216,50505,1909
8600000US28217,28217,ZCTA5 28217,28415,1366
8600000US28226,28226,ZCTA5 28226,38606,968
8600000US28227,28227,ZCTA5 28227,54415,1386
8600000US28244,28244,ZCTA5 28244,0,12
8600000US28262,28262,ZCTA5 28262,42101,1357
8600000US28269,28269,ZCTA5 28269,76360,1925
8600000US28270,28270,ZCTA5 28270,32716,980
8600000US28273,28273,ZCTA5 28273,34450,1285
8600000US28277,28277,ZCTA5 28277,67095,1499
8600000US28278,28278,ZCTA5 28278,22888,984
8600000US28280,28280,ZCTA5 28280,0,12
8600000US28282,28282,ZCTA5 28282,0,12
8600000US28301,28301,ZCTA5 28301,17991,813
8600000US28303,28303,ZCTA5 28303,29197,1109
8600000US28304,28304,ZCTA5 28304,37207,1162
8600000US28305,28305,ZCTA5 28305,6123,366
8600000US28306,28306,ZCTA5 28306,43200,1292
8600000US28307,28307,ZCTA5 28307,18110,892
8600000US28308,28308,ZCTA5 28308,366,152
8600000US28310,28310,ZCTA5 28310,3731,789
8600000US28311,28311,ZCTA5 28311,34364,1205
8600000US28312,28312,ZCTA5 28312,18645,834
8600000US28314,28314,ZCTA5 28314,54109,1278
8600000US28315,28315,ZCTA5 28315,13478,813
8600000US28318,28318,ZCTA5 28318,4953,841
8600000US28320,28320,ZCTA5 28320,9490,800
8600000US28323,28323,ZCTA5 28323,3769,470
8600000US28325,28325,ZCTA5 28325,503,164
8600000US28326,28326,ZCTA5 28326,20358,1472
8600000US28327,28327,ZCTA5 28327,15394,819
8600000US28328,28328,ZCTA5 28328,28801,1212
8600000US28330,28330,ZCTA5 28330,534,357
8600000US28332,28332,ZCTA5 28332,597,318
8600000US28333,28333,ZCTA5 28333,10418,995
8600000US28334,28334,ZCTA5 28334,25533,1138
8600000US28337,28337,ZCTA5 28337,10713,838
8600000US28338,28338,ZCTA5 28338,4590,537
8600000US28339,28339,ZCTA5 28339,7049,381
8600000US28340,28340,ZCTA5 28340,10355,698
8600000US28341,28341,ZCTA5 28341,3881,479
8600000US28342,28342,ZCTA5 28342,252,97
8600000US28343,28343,ZCTA5 28343,1556,392
8600000US28344,28344,ZCTA5 28344,3695,609
8600000US28345,28345,ZCTA5 28345,12484,536
8600000US28347,28347,ZCTA5 28347,2094,422
8600000US28348,28348,ZCTA5 28348,33606,1131
8600000US28349,28349,ZCTA5 28349,4085,730
8600000US28350,28350,ZCTA5 28350,186,193
8600000US28351,28351,ZCTA5 28351,4078,524
8600000US28352,28352,ZCTA5 28352,26029,651
8600000US28356,28356,ZCTA5 28356,4945,597
8600000US28357,28357,ZCTA5 28357,3401,499
8600000US28358,28358,ZCTA5 28358,39398,964
8600000US28360,28360,ZCTA5 28360,14986,814
8600000US28363,28363,ZCTA5 28363,1446,544
8600000US28364,28364,ZCTA5 28364,15391,785
8600000US28365,28365,ZCTA5 28365,18148,1482
8600000US28366,28366,ZCTA5 28366,5584,878
8600000US28367,28367,ZCTA5 28367,97,71
8600000US28369,28369,ZCTA5 28369,2712,391
8600000US28371,28371,ZCTA5 28371,6769,737
8600000US28372,28372,ZCTA5 28372,13524,761
8600000US28373,28373,ZCTA5 28373,2591,452
8600000US28374,28374,ZCTA5 28374,16970,443
8600000US28375,28375,ZCTA5 28375,167,55
8600000US28376,28376,ZCTA5 28376,41682,726
8600000US28377,28377,ZCTA5 28377,12919,845
8600000US28379,28379,ZCTA5 28379,25141,843
8600000US28382,28382,ZCTA5 28382,6443,804
8600000US28383,28383,ZCTA5 28383,8612,583
8600000US28384,28384,ZCTA5 28384,12074,794
8600000US28385,28385,ZCTA5 28385,2595,679
8600000US28386,28386,ZCTA5 28386,6031,478
8600000US28387,28387,ZCTA5 28387,14293,702
8600000US28390,28390,ZCTA5 28390,23265,848
8600000US28391,28391,ZCTA5 28391,5430,515
8600000US28392,28392,ZCTA5 28392,1331,312
8600000US28393,28393,ZCTA5 28393,1468,378
8600000US28394,28394,ZCTA5 28394,5428,843
8600000US28395,28395,ZCTA5 28395,2524,506
8600000US28396,28396,ZCTA5 28396,2986,396
8600000US28398,28398,ZCTA5 28398,7379,728
8600000US28399,28399,ZCTA5 28399,1878,392
8600000US28401,28401,ZCTA5 28401,22175,1042
8600000US28403,28403,ZCTA5 28403,40045,1326
8600000US28405,28405,ZCTA5 28405,30675,1134
8600000US28409,28409,ZCTA5 28409,31845,1018
8600000US28411,28411,ZCTA5 28411,33492,1415
8600000US28412,28412,ZCTA5 28412,37550,1472
8600000US28420,28420,ZCTA5 28420,3464,646
8600000US28421,28421,ZCTA5 28421,1423,383
8600000US28422,28422,ZCTA5 28422,7725,791
8600000US28423,28423,ZCTA5 28423,2560,302
8600000US28424,28424,ZCTA5 28424,53,36
8600000US28425,28425,ZCTA5 28425,11842,761
8600000US28428,28428,ZCTA5 28428,6354,126
